Item,Category,Quantity,Unit,Last_Updated
Corn Tortillas,Pantry,80,packs,2025-11-15
Flour Tortillas,Pantry,37,packs,2025-11-15
Black Beans,Pantry,25,cans,2025-11-15
Pinto Beans,Pantry,35,cans,2025-11-15
Long Grain Rice,Pantry,104,lbs,2025-11-15
Chicken Breast,Meat,86,lbs,2025-11-15
Ground Beef,Meat,97,lbs,2025-11-15
Chorizo,Meat,101,lbs,2025-11-15
Cheddar Cheese,Dairy,74,lbs,2025-11-15
Monterey Jack Cheese,Dairy,57,lbs,2025-11-15
Sour Cream,Dairy,40,tubs,2025-11-15
Lettuce,Produce,42,heads,2025-11-15
Tomatoes,Produce,57,lbs,2025-11-15
Onions,Produce,31,lbs,2025-11-15
Jalapeños,Produce,75,lbs,2025-11-15
