Item,Category,Quantity,Unit,Last_Updated
San Marzano Tomatoes,Pantry,50,cans,2025-11-22
Extra Virgin Olive Oil,Pantry,30,bottles,2025-11-22
Fresh Mozzarella,Dairy,6,lbs,2025-11-22
Penne Pasta,Pantry,30,lbs,2025-11-22
Spaghetti Pasta,Pantry,20,lbs,2025-11-22
Basil (Fresh),Produce,40,bunches,2025-11-22
Parmesan Cheese,Dairy,30,lbs,2025-11-22
Prosciutto,Meat,70,lbs,2025-11-22
Arborio Rice,Pantry,40,lbs,2025-11-22
Garlic Bulbs,Produce,10,bulbs,2025-11-22
Red Wine Vinegar,Pantry,12,bottles,2025-11-22
Pizza Dough Balls,Bakery,50,units,2025-11-22
Italian Sausage,Meat,20,lbs,2025-11-22
Tomato Paste,Pantry,20,cans,2025-11-22
Cannellini Beans,Pantry,5,cans,2025-11-22
